date,aw_acft
8/2/19,0
8/3/19,0
8/4/19,0
8/5/19,0
8/6/19,0
8/7/19,0
8/8/19,0
8/9/19,0
8/10/19,0
8/11/19,0
8/12/19,0
8/13/19,0
8/14/19,0
8/15/19,0.957308709
8/16/19,2.798088697
8/17/19,2.500161117
8/18/19,1.246029627
8/19/19,2.758500051
8/20/19,1.135733817
8/21/19,0
8/22/19,0.975537899
8/23/19,2.776729241
8/24/19,2.758131784
8/25/19,2.736772328
8/26/19,2.808216025
8/27/19,2.696999549
8/28/19,1.45428432
8/29/19,0
8/30/19,0.527725862
8/31/19,2.602355064
9/1/19,0
9/2/19,0
9/3/19,1.433293131
9/4/19,1.706178591
9/5/19,0
9/6/19,0
9/7/19,0.871318486
9/8/19,2.252870177
9/9/19,1.3627701
9/10/19,1.727538047
9/11/19,0
9/12/19,0
9/13/19,0
9/14/19,0
9/15/19,0
9/16/19,0
9/17/19,0
9/18/19,0
9/19/19,0
9/20/19,0
9/21/19,0
9/22/19,0
9/23/19,0
9/24/19,0
9/25/19,0.984744561
9/26/19,2.145336365
9/27/19,1.464043382
9/28/19,1.647624221
9/29/19,1.359455702
9/30/19,1.843910253
10/1/19,0
10/2/19,0
10/3/19,0
10/4/19,1.420772071
10/5/19,1.749081635
10/6/19,0
10/7/19,0.003130265
10/8/19,1.015494812
10/9/19,2.593700802
10/10/19,2.712835007
10/11/19,1.325759319
10/12/19,0
10/13/19,0
10/14/19,0.531040261
10/15/19,1.337543847
10/16/19,0
10/17/19,0
10/18/19,0
10/19/19,0
10/20/19,0
10/21/19,0
10/22/19,0
10/23/19,0
10/24/19,0
10/25/19,0.009206662
10/26/19,0.003130265
10/27/19,0.015283059
10/28/19,0.006076397
10/29/19,0.015467192
10/30/19,0.003130265
10/31/19,0
11/1/19,0.003130265
11/2/19,0
11/3/19,0.003130265
11/4/19,0
11/5/19,0
11/6/19,0.003130265
11/7/19,0
11/8/19,0
11/9/19,0
11/10/19,0.006076397
11/11/19,0.003130265
11/12/19,0
11/13/19,0.003130265
11/14/19,0.003130265
11/15/19,0.009390795
11/16/19,0.003130265
11/17/19,0
11/18/19,0.003130265
11/19/19,0.015283059
11/20/19,0.021543589
11/21/19,0.064446634
11/22/19,0.076783561
11/23/19,0.012336927
11/24/19,0.015283059
11/25/19,0.083044091
11/26/19,0
11/27/19,0.030750251
11/28/19,0.095381018
11/29/19,0.049163575
